-.Pregunta 1.1.-
[00:01:58.080 --> 00:02:00.080]   Una granja d'engreix.
-.Pregunta 1.2.-
[00:02:03.080 --> 00:02:08.080]   La granja la van iniciar el meu pare i el meu tiet
[00:02:08.080 --> 00:02:10.080]   el dos mil...
[00:02:10.080 --> 00:02:13.080]   Bueno, m’equivocaré d'algun any,
[00:02:13.080 --> 00:02:15.080]   però al principi és del 2000.
[00:02:15.080 --> 00:02:17.080]   Entre el 2001 i el 2005, no me'n recordo de l'any.
[00:02:17.080 --> 00:02:21.080]   Van fer les granges a Pinós el 2002, el 2003, una cosa així.
[00:02:23.080 --> 00:02:25.080]   Sí, sí, sí. Quan van començar, sí.
-.Pregunta 1.3a.-
[00:02:32.080 --> 00:02:35.080]   Tenim una explotació que la tenim integrada,
[00:02:35.080 --> 00:02:38.080]   que hi ha 3.600 places d’engreix,
[00:02:38.080 --> 00:02:44.080]   i unes 3.000 de fase 2, de deslletament, que es diu,
[00:02:44.080 --> 00:02:47.080]   perquè la granja que ens porta els animals
[00:02:47.080 --> 00:02:50.080]   té el deslletament separat de les mares.
[00:02:50.080 --> 00:02:52.080]   Nosaltres fem...
[00:02:52.080 --> 00:02:55.080]   Tenim com dos nuclis, com si diguéssim que estan a prop,
[00:02:55.080 --> 00:03:00.080]   que hi ha el deslletament, i llavors a 500 metres hi ha les naus d’engreix.
[00:03:04.080 --> 00:03:06.080]   Sí, tota la transició passa a l’engreix.
[00:03:06.080 --> 00:03:08.080]   I hi ha més i més integrats.
[00:03:11.080 --> 00:03:13.080]   Sí, sí, sí.
[00:03:13.080 --> 00:03:17.080]   La granja de mares, tota la transició serveix
[00:03:17.080 --> 00:03:19.080]   amb una granja de mares única i exclusivament,
[00:03:19.080 --> 00:03:21.080]   i quan surten de la transició o van a l’engreix,
[00:03:21.080 --> 00:03:24.080]   que és el que fem part nostre,
[00:03:24.080 --> 00:03:26.080]   o altres integrats que tenen.
-.Pregunta 1.3b.-
[00:03:31.080 --> 00:03:34.080]   Nosaltres, la granja de mares és Granja Claret,
[00:03:34.080 --> 00:03:40.080]   que és una altra societat que té exclusivament mares i els garrins.
[00:03:40.080 --> 00:03:43.080]   I això, com em podeu veure, és la manera en què marva,
[00:03:43.080 --> 00:03:45.080]   que té l’engreix i la transició.
[00:03:45.080 --> 00:03:49.080]   I a més a més hi ha altres, que diria que són tot persones físiques,
[00:03:49.080 --> 00:03:53.080]   que tenen granges, pagesos de pinós, que tenen la resta d'integracions.
[00:03:54.080 --> 00:03:59.080]   O sigui, marvas el 30% de l’engreix i la resta és externa.
-.Pregunta 2.1.-
[00:04:08.080 --> 00:04:13.080]   A totes les instal·lacions hi ha cobertura, hi ha xarxa d'internet i wifi.
-.Pregunta 2.2a.-
[00:04:22.080 --> 00:04:27.080]   Bueno, us ho explico.
[00:04:27.080 --> 00:04:30.080]   Nosaltres a la transició es fan proves,
[00:04:30.080 --> 00:04:33.080]   és una granja experimental d'una empresa d'alimentació,
[00:04:33.080 --> 00:04:36.080]   de Cargill, vol dir, oi?
[00:04:37.080 --> 00:04:40.080]   I bàsicament ho utilitzem per publicar les proves
[00:04:40.080 --> 00:04:43.080]   i a més a més a l’engreix també portem,
[00:04:43.080 --> 00:04:46.080]   hi posen totes les guies, per publicar les guies, el GTR,
[00:04:46.080 --> 00:04:49.080]   tot això ho fan des de la transició.
[00:04:49.080 --> 00:04:53.080]   Hi ha una mica d'oficina, hi ha una mica de sala per treballar.
[00:04:53.080 --> 00:04:56.080]   I a l’engreix la veritat és que és ben bé perquè hi ha aquí comunicació
[00:04:56.080 --> 00:04:59.080]   i es va fer arribar a la línia perquè quan es van fer les obres
[00:04:59.080 --> 00:05:02.080]   es va fer arribar a la línia de telèfon, però això en servia molt poc.
[00:05:02.080 --> 00:05:04.080]   Hi ha cobertura perquè hi ha cobertura,
[00:05:04.080 --> 00:05:07.080]   però no, és ben bé per comunicació, per si hi ha alguna cosa.
-.Pregunta 2.2b.-
[00:05:09.080 --> 00:05:12.080]   A l’engreix es fa...
[00:05:13.080 --> 00:05:15.080]   A l’engreix, no, cap aplicació mòbil,
