-.Pregunta 1.1.-
[00:01:55.800 --> 00:02:03.280]   -Producció porcina.
-.Pregunta 1.2.-
[00:02:03.280 --> 00:02:08.960]   -És una empresa familiar. Jo ara porto 22 anys. 
[00:02:08.960 --> 00:02:12.760]   -Però la meva família venia del meu pare.
[00:02:12.760 --> 00:02:19.120]   L'empresa és des dels anys 90   
-.Pregunta 1.3a.-
[00:02:28.320 --> 00:02:34.840]   -Jo porto una estructura vertical. Hi ha una granja de mares, de 2.500 mares,
[00:02:34.840 --> 00:02:40.320]   transició de 12.000 porcs, i llavors hi ha 16 granges d'engreix.
[00:02:40.320 --> 00:02:44.640]   -Una part que són pròpies i una altra part integrada.-.Pregunta 1.3b.-
[00:02:55.680 --> 00:03:05.360]   -Sí. A dia d'avui som integrats i integradors.
[00:03:05.360 --> 00:03:11.320]   L'empresa que ens integra i nosaltres també som el 50% part.
[00:03:11.320 --> 00:03:14.520]   -Anem amb la cooperativa de Caspe.
-.Pregunta 2.1.-
[00:03:24.360 --> 00:03:32.200]   -El que sigui un 4G, sí. 
-.Pregunta 2.2a.-
[00:03:35.560 --> 00:03:44.200]   -Normalment no ho tinc a tots els llocs. Sobretot és la granja de mares
[00:03:44.200 --> 00:03:50.040]   i la transició, i és un més tema de connexió als ordinadors per alarmes
[00:03:50.040 --> 00:03:57.720]   i temperatures. I per exemple, a la granja de mares, sobretot el programa
[00:03:57.720 --> 00:04:04.440]   de la base de dades de les truges, que és el núvol, és una manera que teclegen
[00:04:04.440 --> 00:04:09.720]   allà les coses però ho poden veure des de diferents punts, la informació.
-.Pregunta 2.2b.-
[00:04:09.720 --> 00:04:17.440]   -No, no anem de tauletes.
[00:04:17.440 --> 00:04:24.440]   Sobretot, a la granja de mares, és un ordenador fixe de sobretaula. 
[00:04:24.440 --> 00:04:39.120]   -No.
[00:04:39.120 --> 00:04:44.680]   -Els que ens venen l'aplicació del programa de truges
[00:04:44.680 --> 00:04:53.480]   ens ofereixen el mòbil per recollir dades, però continuen preferint
[00:04:53.480 --> 00:05:02.520]   anar amb paper. És molt visual per tots.
-.Pregunta 2.3a.-
[00:05:10.080 --> 00:05:14.920]   -Sí.
[00:05:14.920 --> 00:05:25.320]   -Jo això ja he vist diferents xerrades, parlem molt de la granja intel·ligent,
[00:05:25.320 --> 00:05:33.400]   d'una mica d'unificació, quan parlem en un engreix, que es pugui saber el pinso 
[00:05:33.400 --> 00:05:40.360]   què hi ha al moment, els consums diaris, les corbes de temperatura,
[00:05:40.360 --> 00:05:44.200]   que estigués tot coordinat en una eina que et pogués orientar
[00:05:44.200 --> 00:05:53.000]   de moltes coses. Avui en dia aquest cost sempre està entre l'integrat
[00:05:53.000 --> 00:05:58.640]   i l'integrador de qui ho assumeix. Jo crec que normalment qui més interès
[00:05:58.640 --> 00:06:11.920]   és la integradora, però no fan el pas. Podria portar molta ajuda a l'organització
[00:06:11.920 --> 00:06:16.920]   de coses. A vegades truca un granger m'he quedat sense pinso, corre, corre.
[00:06:16.920 --> 00:06:23.600]   O a vegades arriba el camió i està tot ple. A principis de setmana
[00:06:23.600 --> 00:06:28.760]   plens els dipòsits, finals de setmana altra volta, i a finals de setmana ningú vol.
[00:06:28.760 --> 00:06:36.160]   Conèixer una sèrie d'informacions pot ajudar molt a la logística.
[00:06:36.160 --> 00:06:42.960]   Coses com la temperatura, que de sobte diuen "s'han ficat malalts".
[00:06:42.960 --> 00:06:46.880]   No ha passat res, però si tens una sensació de temperatura dius "ostres,
[00:06:46.880 --> 00:06:49.360]   totes les finestres estan a baix".
-.Pregunta 2.3b.-
[00:07:02.400 --> 00:07:09.200]   -Nosaltres que estem a les dues bandes, tan integrats com a integradors,
[00:07:09.200 --> 00:07:16.360]   segurament sí que la iniciativa pròpia l'ha d'anar digitalitzant
[00:07:16.360 --> 00:07:23.080]   tot el que és l'estructura, perquè al final reverteix el benefici.
[00:07:23.080 --> 00:07:29.840]   Tindré més informació, no? Pots optimitzar moltes coses.
[00:07:29.840 --> 00:07:37.960]   I donar-te compte de molts errors que hi ha. Poder esmenar-los abans d'hora.
-.Pregunta 3.1.-
[00:07:56.920 --> 00:08:16.280]   -En vies... Com et diria, en tema de l'economia, traçabilitat i totes aquestes coses,
[00:08:16.280 --> 00:08:22.120]   que és més tema de despatx, el que ja fa molts anys vam veure que és duplicava,
[00:08:22.120 --> 00:08:27.960]   triplicava, quadruplicava la mateixa informació, l'administració vol així.
[00:08:27.960 --> 00:08:36.040]   L'empresa de traçabilitat ho vol aixà. I tots et demanen les mateixes dades.
[00:08:36.040 --> 00:08:42.800]   Al final el que vam fer és una eina pròpia, que l'hem anat,
[00:08:42.800 --> 00:08:52.360]   com a cada vegada que ens donin més coses. Els informàtics la van adaptant
[00:08:52.360 --> 00:09:00.600]   al que necessitem. D'aquesta manera només cal entrar una vegada en les dades.
[00:09:00.600 --> 00:09:06.280]   Tu vols un informe per la DGA i el vol així, les dades són les mateixes.
[00:09:06.280 --> 00:09:12.040]   Animals centrats, pesos, el de traçabilitat, tot l'escorxador t'ho demana aixà.
[00:09:12.040 --> 00:09:20.480]   Però la base de dades és la mateixa per tot. I llavors per anàlisis econòmiques, per tot.
-.Pregunta 3.2.-
[00:09:34.960 --> 00:09:46.880]   - una mica, les que et comentava abans, que faltaria una mica, a nivell del que és despatx,
[00:09:46.880 --> 00:09:52.400]   o control de coses, ha sigut més fàcil, perquè ja la informació està aquí,
[00:09:52.400 --> 00:09:58.920]   però hi ha una sèrie d'informació que és de camp, que per exemple,
[00:09:58.920 --> 00:10:02.840]   nosaltres no la tenim en concret, per exemple, jo sé que Vall Companys
[00:10:02.840 --> 00:10:08.840]   o una altra empresa així més gran, sé que els visitadors porten una tauleta,
[00:10:08.840 --> 00:10:16.240]   i vam fer-nos part d'allò, se reverteix a lo que seria la...
[00:10:16.240 --> 00:10:20.800]   Per a nosaltres encara hi ha una desconnexió, jo per exemple, cada mes he d'anar trucant
[00:10:20.800 --> 00:10:23.840]   als grangers a preguntar les baixes que tenen,
[00:10:23.840 --> 00:10:32.840]   els pinsos, vas portant pinsos, però no saps ni lo que et digui la logística, camions,
[00:10:32.840 --> 00:10:40.240]   que te'n dones compte de coses, per exemple, jo què sé, un dia cau un tub d'una torre,
[00:10:40.240 --> 00:10:47.840]   i tenen automàtic el sens fi, i de sobte se fiquen en marxa,
[00:10:47.840 --> 00:10:53.240]   i al dia següent arriba el granger i troba 5.000 o 10.000 quilos de pinsos al terra,
[00:10:53.240 --> 00:10:56.640]   i a vegades que no t'ho expliquen, eh? 
[00:11:02.440 --> 00:11:10.040]   -Però vull dir, amb un sensor a les sitges,
[00:11:02.440 --> 00:11:10.040]   de sobte podries tenir una alarma de dir "escolta, que avui estan baixant molt més pinso del que en un dia..."
[00:11:10.040 --> 00:11:13.640]   podries posar alarmes...
[00:11:19.640 --> 00:11:21.640]   -Això és el menjar dels porcs, no?
[00:11:21.640 --> 00:11:27.640]   -Clar. -Pots enviar algú allà a verificar, que es reculli...
-.Pregunta 3.3a.-
[00:11:47.640 --> 00:11:52.640]   -Sobretot és control, el que han dit, de dir...
[00:11:52.640 --> 00:11:56.640]   Organització logística, vull dir...
[00:11:56.640 --> 00:12:00.640]   Poder minimitzar errors, o...
[00:12:00.640 --> 00:12:04.640]   Vull dir, el que et diuen de les finestres, un dia que cau, fa fred,
[00:12:04.640 --> 00:12:08.640]   pots trucar al granger i dir-li "escolta, vés allà que...
